0.1504	Well, that's what gave me such a scare, you see.	STORIES
0.1563	For its philosophy of: we are what's told of us.	NEWS
0.1571	I've got the land, but no time to work on it.	STORIES
0.1655	I wouldn't thrust myself on him, if I were you.	STORIES
0.1665	Of course you know what they were, those that are missing?	STORIES
0.1665	There's no real precedent for us to follow, he said.	NEWS
0.1668	You get the best of both worlds, but you're rooted in neither.	NEWS
0.1683	Well, what are we going to do about it, boys?	STORIES
0.1685	He turned to his men and said: "The thralls have done it."	STORIES
0.1687	There is no culture in consumerism, it's from another opera.	NEWS
0.1691	He said he would take it only as a favor to me.	STORIES
0.1693	I have been unable to speak to Françoise since her marriage.	NEWS
0.1694	If I wear them I shall have them made over for me.	STORIES
0.1709	I thought I'd come and walk with you, he said.	STORIES
0.1715	That may be; but he needn't have left us anything.	STORIES
0.1737	I have listened to all these proposals - I am not insensitive to them.	EUROPARL
0.1738	As to that, ma'am, I have no interest in the matter.	STORIES
0.1746	Jump in, my boy, and we'll take you over.	STORIES
0.1758	Come, they cried, "thank him for that, farmer".	STORIES
0.1768	He is pointing out our house to the man that is riding with him.	STORIES
0.1772	He hadn't made it up yet, and I helped him do it.	STORIES
0.1772	That's the queer part of it, returned the other, promptly.	STORIES
0.1784	But, early as it was, his mother, was down before him.	STORIES
0.1785	Probably he was telling him that he had a mortgage on it.	STORIES
0.1788	There are many achievements and many challenges we are facing.	NEWS
0.1801	Even if it were painted it wouldn't come up to this.	STORIES
0.1801	That is strange, as you both live in the same village.	STORIES
0.1803	Don't try to run, or it will be the worse for you.	STORIES
0.1807	You've got to earn your own living, and your son's.	STORIES
0.1809	With this race, we want to stand out from the crowd.	NEWS
0.1812	That is what we should be doing and how we should be handling it.	EUROPARL
0.1815	My father wants me to be a professional man -- a lawyer.	STORIES
0.1817	Well, we can't stop them from doing that, I suppose.	STORIES
0.1821	Let 'em come on, if they want to mix up with us.	STORIES
0.1822	It is due to-day, as, of course, you know.	STORIES
0.183	He has been taking tea at our house and I accompanied him home.	STORIES
0.1833	He has done more than he vowed to do, people said.	STORIES
0.1835	Perhaps they come from the land that we are going to find.	STORIES
0.1838	There's a great deal of difference between the country and the city.	STORIES
0.1839	I had no idea of such a thing when I came here.	STORIES
0.184	And then the words "you pay" are in a pool of blood.	NEWS
0.184	Don't you want to go home, and carry the news?	STORIES
0.1845	In other places, people don't think about it he said.	NEWS
0.186	We will go in and see what kind of a place it is.	STORIES
0.1863	The place is hers, not mine, and she must decide.	STORIES
0.1864	To be able to play against them, that is pure happiness!	NEWS
0.1865	I will, of course, inform the President of what you have said.	EUROPARL
0.1867	In that case, he decided, "I will certainly foreclose.	STORIES
0.1868	My wife decided for marriage on paper, and I respect it.	NEWS
0.1868	We all appreciate the kindly spirit that causes you to make it to us.	STORIES
0.188	As the mother of my professor, the desire was only natural.	STORIES
